Altium Designer Pick and Place Locations
C:\Users\12507\Desktop\pcb\eeg_hardware\eeg_board_v2.0\eeg_part1\Project Outputs for eeg\Pick Place for eeg.csv

========================================================================================================================
File Design Information:

Date:       11-06-25
Time:       15:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C21","10nF","TopLayer","C0603_L","66.1670","67.3630","0","贴片电容/MLCC电容"
"C20","100nF","TopLayer","C0603_L","45.0850","60.0710","180","贴片电容/MLCC电容"
"C19","1nF","TopLayer","C0603_L","70.9930","61.4680","90","贴片电容/MLCC电容"
"C18","100nF","TopLayer","C0603_L","62.6110","57.9120","180","贴片电容/MLCC电容"
"C17","100nF","TopLayer","C0603_L","60.9600","60.0710","90","贴片电容/MLCC电容"
"C16","10uF","TopLayer","C0603_L","54.7000","62.1030","0","贴片电容/MLCC电容"
"C15","4.7uF","TopLayer","C0603_L","51.9430","62.1030","0","贴片电容/MLCC电容"
"C14","10uF","TopLayer","C0603_L","64.1350","65.0240","0","贴片电容/MLCC电容"
"C13","100nF","TopLayer","C0603_L","51.3080","64.2620","270","贴片电容/MLCC电容"
"C12","100nF","TopLayer","C0603_L","69.7230","65.0240","0","贴片电容/MLCC电容"
"C11","10nF","TopLayer","C0603_L","66.1670","56.3880","0","贴片电容/MLCC电容"
"C10","100nF","TopLayer","C0603_L","45.1750","48.8950","180","贴片电容/MLCC电容"
"C9","1nF","TopLayer","C0603_L","70.9930","50.2920","90","贴片电容/MLCC电容"
"C8","100nF","TopLayer","C0603_L","62.6110","46.7360","180","贴片电容/MLCC电容"
"C7","100nF","TopLayer","C0603_L","61.0870","48.8050","90","贴片电容/MLCC电容"
"C6","10uF","TopLayer","C0603_L","54.7370","50.9270","0","贴片电容/MLCC电容"
"C5","4.7uF","TopLayer","C0603_L","51.9430","50.9270","0","贴片电容/MLCC电容"
"C4","10uF","TopLayer","C0603_L","64.1350","53.8480","0","贴片电容/MLCC电容"
"C3","100nF","TopLayer","C0603_L","51.3080","53.0490","270","贴片电容/MLCC电容"
"C2","100nF","TopLayer","C0603_L","69.7230","53.8480","0","贴片电容/MLCC电容"
"C1","10nF","TopLayer","C0603_L","66.1670","45.2120","0","贴片电容/MLCC电容"
